"latitude","longitude","population","total_units","vacant_units","median_rooms","mean_household_size_owners","mean_household_size_renters","built_2005_or_later","built_2000_to_2004","built_1990s","built_1980s","built_1970s","built_1960s","built_1950s","built_1940s","built_1939_or_earlier","bedrooms_0","bedrooms_1","bedrooms_2","bedrooms_3","bedrooms_4","bedrooms_5_or_more","owners","renters","median_household_income","mean_household_income","latitude.longitude","median_house_value"
37.848292,-122.249525,1974,929,37,6,2.53,1.81,0,1.2,0,1.3,6.1,6.5,1,10.8,73.2,3,16.4,27.4,34.4,17.5,1.2,66,34,111667,195229,-4626.9357190613,909600
37.840265,-122.254416,4865,2655,134,4.6,2.45,1.66,0,0,2.3,3.2,5.2,8.3,5.3,7.8,68,11.5,28.4,29.2,20.4,7.9,2.7,45.1,54.9,66094,105877,-4626.13949886024,748700
37.848451,-122.25731,3703,1911,68,5,2.04,2.19,0,0.2,1.3,0,4.9,4.3,8,10.4,71.1,5.2,27.7,33.7,21.9,7.3,4.2,45,55,87306,106248,-4627.24980692681,773600
37.842226,-122.264926,1571,781,65,4.8,2.58,2.18,0,0,1.2,1.4,1,6.5,19.7,17,53.1,3.5,20.4,40.1,30.7,4.6,0.8,51,49,55658,73933,-4626.77696156528,480800
37.839285,-122.280316,2302,1202,80,4.4,2.7,1.92,0,2.2,0.6,5.9,0,5.5,9.1,14.7,62,14.2,20.1,39.4,18.3,5.5,2.5,31.7,68.3,59091,59690,-4626.99972701406,439300
37.831263,-122.272163,5678,2665,500,4.6,2.75,2.08,0,2.2,0,0.5,4.3,11.2,11.3,8.5,62.1,6.1,29.3,35.4,25.3,3.9,0,35.1,64.9,40402,50056,-4625.71035603187,369800
37.829959,-122.263403,4156,2182,148,3.5,2.3,1.96,0.4,1.1,1.7,0.5,4.1,3.6,13.4,11.8,63.3,11,44,24.4,16.1,3.7,0.8,16.8,83.2,44140,56674,-4625.21952269048,467200
37.830988,-122.258039,2416,1372,33,4.3,2.02,1.61,0,2.2,0.6,3.1,1.4,3.5,8.2,13.9,67.1,6.2,29.2,40.8,20.4,2.9,0.4,41.7,58.3,59554,81476,-4625.14240631253,591200
37.8165,-122.26787,3528,1908,227,3,1.45,1.97,5.9,8.4,3.2,7.3,8,16.3,7.1,6.6,37.2,22.5,47,17.5,11.1,0.4,1.6,12.5,87.5,31080,45789,-4623.742905855,352400
37.819904,-122.273309,4314,1870,432,3.9,2.15,2.6,0,1.8,2.5,3.3,7.2,2.4,8.4,9.4,65,12.4,26.5,31.9,20.2,7.6,1.3,18.1,81.9,30777,38234,-4624.36480814234,322700
